word_id,compound_hanzi,pinyin,meaning,hsk_level
1,爱好,ài hào,hobby,1
2,爸爸,bàba,dad,1
3,白天,bái tiān,day,1
4,半年,bàn nián,half a year,1
5,半天,bàn tiān,half day,1
6,帮忙,bāng máng,help,1
7,包子,bāo zi,bun,1
8,杯子,bēi zi,cup,1
9,北边,běi biān,North side,1
10,北京,běi jīng,Beijing,1
11,本子,běn zi,book,1
12,别的,bié de,other,1
13,别人,bié·rén,other people,1
14,病人,bìng rén,patient,1
15,不大,bú dà,not big,1
16,不对,bú duì,wrong,1
17,不客气,bú kè qì,You’re welcome,1
18,不用,bú yòng,No need to,1
19,常常,cháng cháng,often,1
20,唱歌,chàng gē,sing,1
21,车票,chē piào,ticket,1
22,车上,chē shàng,in the car,1
23,车站,chē zhàn,station,1
24,吃饭,chī fàn,have meal,1
25,出来,chū lái,come,1
26,出去,chū qù,go out,1
27,打车,dǎ chē,take a taxi,1
28,打电话,dǎ diàn huà,make a phonecall,1
29,打开,dǎ kāi,turn on,1
30,打球,dǎ qiú,play ball,1
31,大学,dà xué,university,1
32,大学生,dà xué shēng,university student,1
33,得到,dé dào,get,1
34,地点,dìdiǎn,location,1
35,地方,dìfang,local,1
36,地上,dì shàng,on the ground,1
37,地图,dìtú,Map,1
38,弟弟,dì di,younger brother,1
39,电话,diàn huà,phone,1
40,电脑,diànnǎo,Computer,1
41,电视,diànshì,television,1
42,电视机,diàn shì jī,television,1
43,电影,diànyǐng,Film,1
44,电影院,diàn yǐng yuàn,cinema; movie theater,1
45,东边,dōng biān,east side,1
46,东西,dōngxi,thing,1
47,动作,dòngzuò,action,1
48,读书,dú shū,reading; study,1
49,对不起,duìbuqǐ,I’m sorry.,1
50,多少,duōshao,how much,1
51,儿子,érzi,Son,1
52,饭店,fàndiàn,restaurant,1
53,房间,fángjiān,Room,1
54,房子,fáng zi,house; building,1
55,放假,fàng jià,holiday; have a holiday,1
56,放学,fàng xué,off school,1
57,飞机,fēijī,aircraft,1
58,非常,fēicháng,very,1
59,干净,gānjìng,clean,1
60,干什么,gàn shén me,What to do,1
61,高兴,gāoxìng,happy,1
62,告诉,gàosu,tell,1
63,哥哥,gē ge,elder brother,1
64,工人,gōngrén,Worker,1
65,工作,gōngzuò,work,1
66,关上,guān shàng,close;shut to; turn off,1
67,国家,guójiā,Country,1
68,国外,guó wài,foreign; oversea; abroad,1
69,还是,háishi,still,1
70,还有,hái yǒu,also; in addition; besides,1
71,孩子,háizi,Children,1
72,汉语,hànyǔ,Chinese,1
73,汉字,hàn zì,Chinese character,1
74,好吃,hǎochī,Yummy,1
75,好看,hǎo kàn,good looking,1
76,好听,hǎo tīng,pleasant to hear,1
77,好玩儿,hǎo wánr,fun; interesting,1
78,后边,hòu biān,behind; back,1
79,后天,hòu tiān,day after tomorrow,1
80,回答,huídá,Answer,1
81,回到,huí dào,back to,1
82,回家,huí jiā,go home; return home,1
83,回来,huí lái,come back; return,1
84,回去,huí qù,go back,1
85,火车,huǒ chē,train,1
86,机场,jīchǎng,Airport,1
87,机票,jī piào,air ticket,1
88,鸡蛋,jīdàn,Egg,1
89,记得,jìdé,remember,1
90,记住,jì zhù,remember; keep in mind,1
91,家里,jiā lǐ,In the home,1
92,家人,jiā rén,family,1
93,见面,jiànmiàn,meet,1
94,教学楼,jiào xué lóu,teaching building,1
95,姐姐,jiě jie,elder sister,1
96,介绍,jièshào,introduce,1
97,今年,jīn nián,this year,1
98,今天,jīntiān,Today,1
99,进来,jìn lái,come in,1
100,进去,jìn qù,go in,1
101,觉得,juéde,Think,1
102,开车,kāi chē,drive; drive a car,1
103,开会,kāi huì,have a meeting,1
