word_id,hanzi,pinyin,meaning,hsk_level,is_compound
1,的,de,"possessive, adjectival suffix",1,0
2,一,yī,"one; a, an; alone",1,0
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",1,0
4,不,bù,"no, not; un-; negative prefix",1,0
5,了,le,to finish; particle of completed action,1,0
6,在,zài,"be at, in, on; consist in, rest",1,0
7,人,rén,man; people; mankind; someone else,1,0
8,有,yǒu,"have, own, possess; exist",1,0
9,我,wǒ,"our, us, i, me, my, we",1,0
10,他,tā,"other, another; he, she, it",1,0
11,这,zhè,"this, the, here",1,0
12,个,gè,"numerary adjunct, piece; single",1,0
13,们,men,adjunct pronoun indicate plural,1,0
14,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",1,0
15,来,lái,"come, coming; return, returning",1,0
16,上,shàng,"top; superior, highest; go up, send up",1,0
17,大,dà,"big, great, vast, large, high",1,0
18,和,hé,"harmony, peace; peaceful, calm",1,0
19,国,guó,"nation, country, nation-state",1,0
20,地,de,"earth; soil, ground; region",1,0
21,到,dào,"go to, arrive, been to",1,0
22,说,shuō,"speak, say, talk; scold, upbraid",1,0
23,时,shí,"time, season; era, age, period",1,0
24,要,yào,"necessary, essential; necessity",1,0
25,就,jiù,"just, simply; to come, go to; to approach, near",1,0
26,出,chū,"go out, send out; stand; produce",1,0
27,会,huì,"assemble, meet together; meeting",1,0
28,也,yě,also; classical final particle of strong affirmation or identity,1,0
29,你,nǐ,"you, second person pronoun",1,0
30,对,duì,"correct, right; facing, opposed",1,0
31,生,shēng,"life, living, lifetime; birth",1,0
32,能,néng,"to be able; can, permitted to; ability",1,0
33,子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",1,0
34,那,nà,"that, that one, those",1,0
35,得,dé,"obtain, get, gain, acquire",1,0
36,着,zhe,"make move, take action",1,0
37,下,xià,"under, underneath, below; down; inferior; bring down",1,0
38,年,nián,year,1,0
39,过,guò,"pass, pass through, go across",1,0
40,后,hòu,"queen, empress, sovereign; (simp. for後) behind, rear, after",1,0
41,作,zuò,"make; work; compose, write; act, perform",1,0
42,里,lǐ,unit of distance; village; lane,1,0
43,用,yòng,"use, employ, apply, operate; use",1,0
44,道,dào,"path, road, street; method, way",1,0
45,行,xíng,"go; walk; move, travel; circulate",1,0
46,家,jiā,"house, home, residence; family",1,0
47,事,shì,"affair, matter, business; to serve; accident, incident",1,0
48,方,fāng,"a square, rectangle; a region; local",1,0
49,多,duō,"much, many; more than, over",1,0
50,么,me,interrogative particle; repetition of a tune small; tender,1,0
51,去,qù,"go away, leave, depart",1,0
52,学,xué,"learning, knowledge; school",1,0
53,都,dōu,"metropolis, capital; all, the whole; elegant, refined",1,0
54,同,tóng,"same, similar; together with",1,0
55,现,xiàn,"appear, manifest, become visible",1,0
56,没,méi,"not, have not, none; drown, sink",1,0
57,动,dòng,"move, happen; movement, action",1,0
58,面,miàn,"face; surface; plane; side, dimension",1,0
59,起,qǐ,"rise, stand up; go up; begin",1,0
60,看,kàn,"look, see; examine, scrutinize",1,0
61,天,tiān,"sky, heaven; god, celestial",1,0
62,分,fēn,divide; small unit of time etc.,1,0
63,还,hái,"still, yet, also, besides",1,0
64,进,jìn,"advance, make progress, enter",1,0
65,好,hǎo,"good, excellent, fine; well",1,0
66,小,xiǎo,"small, tiny, insignificant",1,0
67,些,xiē,"little, few; rather, somewhat",1,0
68,样,yàng,"shape, form, pattern, style",1,0
69,她,tā,"she, her",1,0
70,本,běn,"root, origin, source; basis",1,0
71,前,qián,"in front, forward; preceding",1,0
72,开,kāi,"open; initiate, begin, start",1,0
73,从,cóng,"from, by, since, whence, through",1,0
74,想,xiǎng,"think, speculate, plan, consider",1,0
75,日,rì,sun; day; daytime,1,0
76,机,jī,desk; machine; moment,1,0
77,十,shí,"ten, tenth; complete; perfect",1,0
78,第,dì,"sequence, number; grade, degree",1,0
79,工,gōng,"labor, work; worker, laborer",1,0
80,明,míng,"bright, light, brilliant; clear",1,0
81,知,zhī,"know, perceive, comprehend",1,0
82,三,sān,three,1,0
83,关,guān,frontier pass; close; relation,1,0
84,点,diǎn,"dot, speck, spot; point, degree",1,0
85,正,zhèng,"right, proper, correct",1,0
86,外,wài,"out, outside, external; foreign",1,0
87,两,liǎng,"two, both, pair, couple; ounce",1,0
88,高,gāo,"high, tall; lofty, elevated",1,0
89,间,jiān,"midpoint, space; place, locality",1,0
90,问,wèn,"ask about, inquire after",1,0
91,很,hěn,"very, quite, much",1,0
92,最,zuì,"most, extremely, exceedingly",1,0
93,重,zhòng,"heavy, weighty; double",1,0
94,手,shǒu,hand,1,0
95,文,wén,"literature, culture, writing",1,0
96,体,tǐ,"body; group, class, body, unit; inferior",1,0
97,见,jiàn,"see, observe, behold; perceive",1,0
98,什,shén,"file of ten soldiers; mixed, miscellaneous",1,0
99,二,èr,two; twice,1,0
100,等,děng,"class, rank, grade, equal to, same as, to wait for",1,0
101,新,xīn,"new, recent, fresh, modern",1,0
102,身,shēn,"body; trunk, hull; rad. no. 158",1,0
103,果,guǒ,fruit; result,1,0
104,西,xī,"west(ern); westward, occident",1,0
105,月,yuè,moon; month; KangXi radical 74,1,0
106,话,huà,"speech, talk, language; dialect",1,0
107,回,huí,"return, turn around; a time",1,0
108,老,lǎo,"old, aged; experienced",1,0
109,给,gěi,"give; by, for",1,0
110,次,cì,"order, sequence; next",1,0
111,门,mén,"gate, door, entrance, opening",1,0
112,常,cháng,"common, normal, frequent, regular",1,0
113,先,xiān,"first, former, previous",1,0
114,教,jiào,"teach, class",1,0
115,儿,ér,"son, child; KangXi radical 10",1,0
116,东,dōng,"east, eastern, eastward",1,0
117,比,bǐ,"to compare, liken; comparison; than",1,0
118,水,shuǐ,"water, liquid, lotion, juice",1,0
119,名,míng,"name, rank, title, position",1,0
120,真,zhēn,"real, actual, true, genuine",1,0
121,走,zǒu,"walk, go on foot; run; leave",1,0
122,几,jǐ,small table,1,0
123,口,kǒu,"mouth; open end; entrance, gate",1,0
124,认,rèn,"recognize, know, understand",1,0
125,条,tiáo,"clause, condition; string, stripe",1,0
126,系,xì,"system; line, link, connection",1,0
127,气,qì,"steam, vapor; KangXi radical 84",1,0
128,别,bié,"separate, other; do not",1,0
129,打,dǎ,"strike, hit, beat; fight; attack",1,0
130,女,nǚ,"woman, girl; feminine; rad. 38",1,0
131,四,sì,four,1,0
132,电,diàn,electricity; electric; lightning,1,0
133,少,shǎo,"few, less, inadequate",1,0
134,太,tài,"very, too, much; big; extreme",1,0
135,再,zài,"again, twice, re-",1,0
136,做,zuò,"work, make; act",1,0
137,场,chǎng,"open space, field, market",1,0
138,期,qī,period of time; date; time limit,1,0
139,山,shān,"mountain, hill, peak",1,0
140,马,mǎ,horse; surname; KangXi radical 187,1,0
141,五,wǔ,five; surname,1,0
142,书,shū,"book, letter, document; writings",1,0
143,非,fēi,"not, negative, non-; oppose",1,0
144,听,tīng,"hear; understand; obey, comply",1,0
145,白,bái,"white; pure, unblemished; bright",1,0
146,放,fàng,"put, release, free, liberate",1,0
147,难,nán,"difficult, arduous, hard; unable",1,0
148,路,lù,"road, path, street; journey",1,0
